timestamp_minute,tower_identifier,tower_position_x_meter,tower_position_y_meter,tower_motion_power_watt,tower_idle_power_watt,tower_to_tower_mesh_comm_power_watt,tower_to_truck_comm_power_watt,total_power_consumption_watt,battery_voltage_volt,battery_percentage_remaining,current_draw_ampere,ampere_hour_used_this_step,battery_energy_remaining_wh,connected_trucks_ids,connected_tower_ids,truck0_x,truck0_y,truck0_distance_to_A,truck0_distance_to_B,truck0_distance_to_C,truck0_connected_tower,truck1_x,truck1_y,truck1_distance_to_A,truck1_distance_to_B,truck1_distance_to_C,truck1_connected_tower,truck2_x,truck2_y,truck2_distance_to_A,truck2_distance_to_B,truck2_distance_to_C,truck2_connected_tower,truck3_x,truck3_y,truck3_distance_to_A,truck3_distance_to_B,truck3_distance_to_C,truck3_connected_tower,truck4_x,truck4_y,truck4_distance_to_A,truck4_distance_to_B,truck4_distance_to_C,truck4_connected_tower,truck5_x,truck5_y,truck5_distance_to_A,truck5_distance_to_B,truck5_distance_to_C,truck5_connected_tower
0.017,A,-100.0,450.0,4,3,0,229.65,236.65,26.5,99.98,8.9303,0.002481,397.4343,T0;T2,B;C,120.0,160.0,364.01,364.01,364.01,A,750.0,320.0,859.88,859.88,859.88,None,-200.0,440.0,100.5,100.5,100.5,A,250.0,840.0,524.02,524.02,524.02,None,750.0,370.0,853.76,853.76,853.76,None,150.0,790.0,422.02,422.02,422.02,None
0.017,B,-100.0,450.0,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4981,,A;C,120.0,160.0,364.01,364.01,364.01,A,750.0,320.0,859.88,859.88,859.88,None,-200.0,440.0,100.5,100.5,100.5,A,250.0,840.0,524.02,524.02,524.02,None,750.0,370.0,853.76,853.76,853.76,None,150.0,790.0,422.02,422.02,422.02,None
0.017,C,-100.0,450.0,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4981,,A;B,120.0,160.0,364.01,364.01,364.01,A,750.0,320.0,859.88,859.88,859.88,None,-200.0,440.0,100.5,100.5,100.5,A,250.0,840.0,524.02,524.02,524.02,None,750.0,370.0,853.76,853.76,853.76,None,150.0,790.0,422.02,422.02,422.02,None
0.033,A,-97.2,448.63,4,3,0,225.4,232.4,26.5,99.97,8.7702,0.002436,397.3697,T0;T2,B;C,120.01,160.56,360.78,360.78,360.78,A,750.0,319.43,856.99,856.99,856.99,None,-200.0,439.45,103.21,103.21,103.21,A,250.06,839.45,522.81,522.81,522.81,None,750.0,369.43,850.89,850.89,850.89,None,150.06,789.45,421.07,421.07,421.07,None
0.033,B,-97.2,448.63,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4961,,A;C,120.01,160.56,360.78,360.78,360.78,A,750.0,319.43,856.99,856.99,856.99,None,-200.0,439.45,103.21,103.21,103.21,A,250.06,839.45,522.81,522.81,522.81,None,750.0,369.43,850.89,850.89,850.89,None,150.06,789.45,421.07,421.07,421.07,None
0.033,C,-97.2,448.63,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4961,,A;B,120.01,160.56,360.78,360.78,360.78,A,750.0,319.43,856.99,856.99,856.99,None,-200.0,439.45,103.21,103.21,103.21,A,250.06,839.45,522.81,522.81,522.81,None,750.0,369.43,850.89,850.89,850.89,None,150.06,789.45,421.07,421.07,421.07,None
0.05,A,-93.82,447.02,4,3,0,220.49,227.49,26.5,99.95,8.5851,0.002385,397.3065,T0;T2,B;C,120.04,161.24,356.95,356.95,356.95,A,750.0,318.72,853.52,853.52,853.52,None,-200.0,438.81,106.49,106.49,106.49,A,250.22,838.81,521.41,521.41,521.41,None,750.0,368.72,847.45,847.45,847.45,None,150.22,788.81,419.97,419.97,419.97,None
0.05,B,-93.82,447.02,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4942,,A;C,120.04,161.24,356.95,356.95,356.95,A,750.0,318.72,853.52,853.52,853.52,None,-200.0,438.81,106.49,106.49,106.49,A,250.22,838.81,521.41,521.41,521.41,None,750.0,368.72,847.45,847.45,847.45,None,150.22,788.81,419.97,419.97,419.97,None
0.05,C,-93.82,447.02,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4942,,A;B,120.04,161.24,356.95,356.95,356.95,A,750.0,318.72,853.52,853.52,853.52,None,-200.0,438.81,106.49,106.49,106.49,A,250.22,838.81,521.41,521.41,521.41,None,750.0,368.72,847.45,847.45,847.45,None,150.22,788.81,419.97,419.97,419.97,None
0.067,A,-89.94,445.21,4,3,0,215.05,222.05,26.5,99.94,8.38,0.002328,397.2448,T0;T2,B;C,120.1,162.01,352.58,352.58,352.58,A,750.0,317.89,849.54,849.54,849.54,None,-200.0,438.08,110.29,110.29,110.29,A,250.48,838.08,519.84,519.84,519.84,None,750.0,367.89,843.49,843.49,843.49,None,150.48,788.08,418.76,418.76,418.76,None
0.067,B,-89.94,445.21,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4922,,A;C,120.1,162.01,352.58,352.58,352.58,A,750.0,317.89,849.54,849.54,849.54,None,-200.0,438.08,110.29,110.29,110.29,A,250.48,838.08,519.84,519.84,519.84,None,750.0,367.89,843.49,843.49,843.49,None,150.48,788.08,418.76,418.76,418.76,None
0.067,C,-89.94,445.21,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4922,,A;B,120.1,162.01,352.58,352.58,352.58,A,750.0,317.89,849.54,849.54,849.54,None,-200.0,438.08,110.29,110.29,110.29,A,250.48,838.08,519.84,519.84,519.84,None,750.0,367.89,843.49,843.49,843.49,None,150.48,788.08,418.76,418.76,418.76,None
0.083,A,-85.6,443.2,4,3,0,209.22,216.22,26.5,99.92,8.16,0.002267,397.1848,T0;T2,B;C,120.16,162.88,347.73,347.73,347.73,A,750.0,316.96,845.08,845.08,845.08,None,-200.0,437.28,114.55,114.55,114.55,A,250.8,837.28,518.14,518.14,518.14,None,750.0,366.96,839.07,839.07,839.07,None,150.8,787.28,417.46,417.46,417.46,None
0.083,B,-85.6,443.2,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4903,,A;C,120.16,162.88,347.73,347.73,347.73,A,750.0,316.96,845.08,845.08,845.08,None,-200.0,437.28,114.55,114.55,114.55,A,250.8,837.28,518.14,518.14,518.14,None,750.0,366.96,839.07,839.07,839.07,None,150.8,787.28,417.46,417.46,417.46,None
